row_id,waktu,tweet_id,username,tweet,web,kota,provinsi
1,3/24/2021 23:59,1.37E+18,Polsek PRACIMANTORO,Anggota Polsek pracimantoro Patroli dan sambang pemukiman warga antisipasi gangguan kamtimas dan sampaikan  himbauan kamtimas tentang pemberlakuan  pembatasan kegiatan Masyarakat bersama cegah Covid - 19,https: / / t. co/ oZqvetd638,,
2,3/24/2021 23:33,1.37E+18,koramilcolomadu,"Satpol PP melaksanakan Patroli Pendisplinan Protokol kesehatan Covid 19,  pada masa pemberlakuan  pembatasan kegiatan Masyarakat ( PpkM) skala Mikro Karanganyar", https: / / t. co/ YAgrDPy6RG,Karang Anyar,
3,3/24/2021 23:33,1.37E+18,koramilcolomadu,"Satpol PP melaksanakan Patroli Pendisplinan Protokol kesehatan Covid 19,  pada masa pemberlakuan  pembatasan kegiatan Masyarakat ( PpkM) skala Mikro Karanganyar",https: / / t. co/ 9WRgCLs9N,Karang Anyar,
9,3/24/2021 17:32,1.37E+18,DIKYASA POLRES Ngawi,Satlantas polres Ngawi melaksanakan giat  himbauan Prokes Covid- 19 bupati Ngawi  rta Sosialisasi tentang pemberlakuan  pembatasan Kegiatan Masyarakat (PpkM) Mikro,https: / / t. co/ YzU84DUcKD,Ngawi,
10,3/24/2021 17:32,1.37E+18,DIKYASA POLRES Ngawi,Satlantas polres Ngawi melaksanakan giat  himbauan Prokes Covid- 19 bupati Ngawi  rta Sosialisasi tentang pemberlakuan  pembatasan Kegiatan Masyarakat (PpkM) Mikro,https: / / t. co/ 9EEX5C3qS,Ngawi,
16,3/24/2021 17:30,1.37E+18,DIKYASA POLRES Ngawi,Satlantas polres Ngawi melaksanakan giat  himbauan Prokes Covid- 19 bupati Ngawi  rta Sosialisasi tentang pemberlakuan  pembatasan Kegiatan Masyarakat (PpkM) Mikro,https: / / t. co/ gCVgUZR3sZ,Ngawi,
17,3/24/2021 15:07,1.37E+18,DISPORA DKI JAKARTA,Dalam rangka menindaklanjuti Peraturan gubernur  tentang Perpanjangan pemberlakuan  pembatasan Kegiatan Masyarakat berbasis Mikro, https: / / t. co/ llMnm1tvcV,DKI Jakarta,
18,3/24/2021 14:24,1.37E+18,HUMAS Polsek KRAMATJATI,penerapan  pembatasan KEGIATAN Masyarakat (PpkM) berbasis MIKRO DI wilayah HUKUM Polsek KRAMATJATI JAKTIM ,https: / / t. co/ h7X0tcvH06,jakarta timur,
19,3/24/2021 14:21,1.37E+18,Aldo Sallis,"Kasus Meningkat,  Kalteng kembali Terapkan  pembatasan Kegiatan Masyarakat",https: / / t. co/ O3mVFychn,,Kalimantan tengah
20,3/24/2021 13:14,1.37E+18,Jefri Tftt, Puskesmas Meral Instansi Pemerintah Kelurahan melaksanakan pembentukan Posko pemberlakuan  pembatasan Kegiatan Masyarakat (PpkM) berbasis Mikro.   ,https: / / t. co/ m9IRUwAlmp,Kec.  Meral,
